name,start_date_local,type,distance_meters,moving_time_sec,elapsed_time,elevation_gain_m,average_heartrate,max_heartrate,average_speed,start_time,start_date,week_start,distance_miles,elevation_gain_ft,moving_time,running_pace,avg_speed_mph
Step-down,2020-10-31T07:56:52Z,Run,18059.0,4609,01:23:14,93.0,,,3.918,07:56:52,2020-10-31,2020-10-26,11.2237,305.12,01:16:49,06:50,8.76
Election Central,2020-10-29T11:59:39Z,Run,7048.0,1833,00:32:42,51.0,,,3.845,11:59:39,2020-10-29,2020-10-26,4.3804,167.32,00:30:33,06:58,8.6
A 2-kid stroller run,2020-10-28T12:35:37Z,Run,10901.0,3058,01:00:46,63.0,,,3.565,12:35:37,2020-10-28,2020-10-26,6.775,206.69,00:50:58,07:31,7.97
Walk with the fam,2020-10-25T14:36:07Z,Run,8619.0,5453,01:43:37,48.0,,,1.581,14:36:07,2020-10-25,2020-10-19,5.3567,157.48,01:30:53,16:57,3.54
An absolute trudge,2020-10-24T05:18:42Z,Run,24156.0,6558,02:00:46,114.0,163.2,212.0,3.6830000000000003,05:18:42,2020-10-24,2020-10-19,15.0131,374.02,01:49:18,07:16,8.24
Cities weren’t designed for quick 800s,2020-10-22T20:03:24Z,Run,9362.0,2528,00:43:35,57.0,,,3.7030000000000003,20:03:24,2020-10-22,2020-10-19,5.8185,187.01,00:42:08,07:14,8.28
Evening Run,2020-10-21T19:38:21Z,Run,8078.0,2358,00:40:04,69.0,138.7,169.0,3.426,19:38:21,2020-10-21,2020-10-19,5.0205,226.38,00:39:18,07:49,7.66
3x2mi Repeats,2020-10-20T05:16:23Z,Run,17760.0,4658,01:26:40,63.0,161.7,215.0,3.813,05:16:23,2020-10-20,2020-10-19,11.0379,206.69,01:17:38,07:02,8.53
Just spinnin’ ,2020-10-19T19:30:59Z,Run,5493.0,1508,00:25:35,57.0,,,3.6430000000000002,19:30:59,2020-10-19,2020-10-19,3.4139,187.01,00:25:08,07:21,8.15
A bit wet and cold with the stroller,2020-10-18T12:45:51Z,Run,12622.0,3740,01:07:46,78.0,,,3.375,12:45:51,2020-10-18,2020-10-12,7.8446,255.91,01:02:20,07:56,7.55
